а	a
обдулганда	o b d u l gh a n d a
обдулду	o b d u l d u
обдулуп	o b d u l u p
областтык	o b l a s t t ih к
областтын	o b l a s t t ih n
областы	o b l a s t ih
областынын	o b l a s t ih n ih n
облус	o b l u s
облустан	o b l u s t a n
облустта	o b l u s t t a
обо	o w o
обон	o w o n
обондору	o w o n d o r u
обонду	o w o n d u
обондун	o w o n d u n
обону	o w o n u
обонун	o w o n u n
обосунда	o w o s u n d a
обочо	o w o tsh o
обочодо	o w o tsh o d o
обочолонгондон	o w o tsh o l o n gh o n d o n
обочолонуп	o w o tsh o l o n u p
обу	o w u
ого	o gh o
огомбаев	o gh o m b a e в
огонбаев	o gh o n b a e в
огонбай	o gh o n b a j
огонбайдан	o gh o n b a j d a n
огонбайдын	o gh o n b a j d ih n
огу	o gh u
огундай	o gh u n d a j
озол	o z o l
озунду	o z u n d u
озунуп	o z u n u p
озуп	o z u p
озү	o z y
озүнчө	o z y n tsh oe
озүнө	o z y n oe
ой	o j
ойго	o j gh o
ойгонгон	o j gh o n gh o n
ойгонду	o j gh o n d u
ойгонсо	o j gh o n s o
ойгонуп	o j gh o n u p
ойгонушту	o j gh o n u sh t u
ойгот	o j gh o t
ойготкон	o j gh o t q o n
ойготконсуду	o j gh o t q o n s u d u
ойготту	o j gh o t t u
ойготууга	o j gh o t u u gh a
ойдо	o j d o
ойдогудай	o j d o gh u d a j
ойдогусундай	o j d o gh u s u n d a j
ойдолоткон	o j d o l o t q o n
ойдолото	o j d o l o t o
ойдолотуп	o j d o l o t u p
ойдон	o j d o n
ойду	o j d u
ойдуң	o j d u ng
ойдуңдун	o j d u ng d u n
ойкупкайкып	o j q u p q a j q ih p
ойлобогон	o j l o w o gh o n
ойлобогону	o j l o w o gh o n u
ойлободу	o j l o w o d u
ойлободубу	o j l o w o d u w u
ойлобой	o j l o w o j
ойлобойт	o j l o w o j t
ойлобосо	o j l o w o s o
ойлогомун	o j l o gh o m u n
ойлогон	o j l o gh o n
ойлогондо	o j l o gh o n d o
ойлогону	o j l o gh o n u
ойлогонун	o j l o gh o n u n
ойлогонундай	o j l o gh o n u n d a j
ойлогула	o j l o gh u l a
ойлоду	o j l o d u
ойлодум	o j l o d u m
ойлодуң	o j l o d u ng
ойлой	o j l o j
ойлойсуң	o j l o j s u ng
ойлойт	o j l o j t
ойлонбо	o j l o n b o
ойлонбогонуна	o j l o n b o gh o n u n a
ойлонбоду	o j l o n b o d u
ойлонбой	o j l o n b o j
ойлонбосо	o j l o n b o s o
ойлонгондор	o j l o n gh o n d o r
ойлонгондур	o j l o n gh o n d u r
ойлонгонсуп	o j l o n gh o n s u p
ойлонгону	o j l o n gh o n u
ойлонду	o j l o n d u
ойлоно	o j l o n o
ойлоном	o j l o n o m
ойлоноор	o j l o n o o r
ойлонот	o j l o n o t
ойлонто	o j l o n t o
ойлонтот	o j l o n t o t
ойлонтту	o j l o n t t u
ойлонуп	o j l o n u p
ойлонууга	o j l o n u u gh a
ойлонушарбыз	o j l o n u sh a r b ih z
ойлонушпайт	o j l o n u sh p a j t
ойлонушту	o j l o n u sh t u
ойлонушчу	o j l o n u sh tsh u
ойлончу	o j l o n tsh u
ойлоо	o j l o o
ойлоорсуң	o j l o o r s u ng
ойлоочу	o j l o o tsh u
ойлоп	o j l o p
ойлоптур	o j l o p t u r
ойлор	o j l o r
ойлору	o j l o r u
ойлосо	o j l o s o
ойлочу	o j l o tsh u
ойлошкон	o j l o sh q o n
ойлошор	o j l o sh o r
ойлошот	o j l o sh o t
ойлошсо	o j l o sh s o
ойлошту	o j l o sh t u
ойлошу	o j l o sh u
ойлоюн	o j l o j u n
ойлуу	o j l u u
оймолжун	o j m o l zh u n
оймочиймеге	o j m o tsh i j m e g e
ойногон	o j n o gh o n
ойногону	o j n o gh o n u
ойногонун	o j n o gh o n u n
ойногонуна	o j n o gh o n u n a
ойноду	o j n o d u
ойной	o j n o j
ойнойм	o j n o j m
ойнойт	o j n o j t
ойноо	o j n o o
ойноп	o j n o p
ойнор	o j n o r
ойносо	o j n o s o
ойнотуп	o j n o t u p
ойнотууну	o j n o t u u n u
ойоздун	o j o z d u n
ойпикирин	o j p i k i r i n
ойпотуу	o j p o t u u
ойрону	o j r o n u
ойрумалуу	o j r u m a l u u
ойсанаасы	o j s a n a a s ih
ойсоңдогондун	o j s o ng d o gh o n d u n
ойтоонун	o j t o o n u n
ок	o к
оксүтүп	o q s y t y p
октон	o q t o n
окторулган	o q t o r u l gh a n
октябрь	o q t j a b r ь
оку	o q u
окубай	o q u w a j
окубасаңар	o q u w a s a ng a r
окуган	o q u gh a n
окугандар	o q u gh a n d a r
окуганы	o q u gh a n ih
окуганын	o q u gh a n ih n
окуганына	o q u gh a n ih n a
окуду	o q u d u
окудум	o q u d u m
окудуңбу	o q u d u ng b u
окуй	o q u j
окуйт	o q u j t
окулуп	o q u l u p
окумда	o q u m d a
окумуштуу	o q u m u sh t u u
окуп	o q u p
окурана	o q u r a n a
окуранып	o q u r a n ih p
окус	o q u s
окусаңар	o q u s a ng a r
окусун	o q u s u n
окусунан	o q u s u n a n
окусунанбы	o q u s u n a n b ih
окутайын	o q u t a j ih n
окутам	o q u t a m
окутамын	o q u t a m ih n
окутар	o q u t a r
окуткандыгың	o q u t q a n d ih gh ih ng
окутканы	o q u t q a n ih
окутмак	o q u t m a к
окутпаган	o q u t p a gh a n
окутпайт	o q u t p a j t
окутуп	o q u t u p
окутуу	o q u t u u
окутуудан	o q u t u u d a n
окутуунун	o q u t u u n u n
окутуучуну	o q u t u u tsh u n u
окутушту	o q u t u sh t u
окуу	o q u u
окууга	o q u u gh a
окууда	o q u u d a
окуудан	o q u u d a n
окууну	o q u u n u
окуунун	o q u u n u n
окуусу	o q u u s u
окуучулар	o q u u tsh u l a r
окуучуларга	o q u u tsh u l a r gh a
окуучулардан	o q u u tsh u l a r d a n
окуучулары	o q u u tsh u l a r ih
окуучуң	o q u u tsh u ng
окууңду	o q u u ng d u
окушат	o q u sh a t
окуя	o q u j a
окуяга	o q u j a gh a
окуядан	o q u j a d a n
окуялар	o q u j a l a r
окуяларга	o q u j a l a r gh a
окуяларды	o q u j a l a r d ih
окуяларын	o q u j a l a r ih n
окуяны	o q u j a n ih
окуянын	o q u j a n ih n
окуясы	o q u j a s ih
окуясын	o q u j a s ih n
окуясынан	o q u j a s ih n a n
окуясындай	o q u j a s ih n d a j
окуясынын	o q u j a s ih n ih n
окчун	o q tsh u n
окшобогон	o q sh o w o gh o n
окшободу	o q sh o w o d u
окшобойт	o q sh o w o j t
окшогон	o q sh o gh o n
окшогондор	o q sh o gh o n d o r
окшоду	o q sh o d u
окшойбуз	o q sh o j b u z
окшойсуздар	o q sh o j s u z d a r
окшойсуң	o q sh o j s u ng
окшойт	o q sh o j t
окшоп	o q sh o p
окшотуп	o q sh o t u p
окшош	o q sh o sh
окшошкон	o q sh o sh q o n
окшошконго	o q sh o sh q o n gh o
окшоштук	o q sh o sh t u к
окщогондор	o q sh o gh o n d o r
окүмот	o k y m o t
олда	o l d a
олжо	o l zh o
олжолуу	o l zh o l u u
олжону	o l zh o n u
олжонун	o l zh o n u n
олжосу	o l zh o s u
олжосун	o l zh o s u n
олкусолку	o l q u s o l q u
олла	o l l a
олтура	o l t u r a
олтурабыз	o l t u r a w ih z
олтурган	o l t u r gh a n
олтургандарга	o l t u r gh a n d a r gh a
олтургузду	o l t u r gh u z d u
олтурушту	o l t u r u sh t u
олуттуу	o l u t t u u
олуя	o l u j a
олуяата	o l u j a a t a
олуяатага	o l u j a a t a gh a
олуяатада	o l u j a a t a d a
олуяатадагы	o l u j a a t a d a gh ih
олуяатадан	o l u j a a t a d a n
олуяатаны	o l u j a a t a n ih
олуяатанын	o l u j a a t a n ih n
олуясы	o l u j a s ih
олчойгон	o l tsh o j gh o n
омурт	o m u r t
омуртка	o m u r t q a
омурткасы	o m u r t q a s ih
омүрго	o m y r gh o
омүрдү	o m y r d y
омүрүмо	o m y r y m o
он	o n
ондо	o n d o
ондогон	o n d o gh o n
онтолоп	o n t o l o p
оо	o o
ооба	o o w a
ообосун	o o w o s u n
ооганбайдын	o o gh a n b a j d ih n
оогон	o o gh o n
оогонбай	o o gh o n b a j
оогондон	o o gh o n d o n
оогону	o o gh o n u
оогонун	o o gh o n u n
оодара	o o d a r a
оодарылды	o o d a r ih l d ih
оодарылып	o o d a r ih l ih p
оодарып	o o d a r ih p
оодарыш	o o d a r ih sh
ооду	o o d u
ооз	o o z
оозанышканда	o o z a n ih sh q a n d a
оозго	o o z gh o
оозгу	o o z gh u
ооздоноозго	o o z d o n o o z gh o
ооздорун	o o z d o r u n
ооздорунан	o o z d o r u n a n
оозду	o o z d u
ооздугун	o o z d u gh u n
ооздукту	o o z d u q t u
оозмооз	o o z m o o z
оозу	o o z u
оозубашың	o o z u w a sh ih ng
оозум	o o z u m
оозумду	o o z u m d u
оозумурду	o o z u m u r d u
оозун	o o z u n
оозуна	o o z u n a
оозунан	o o z u n a n
оозунда	o o z u n d a
оозундагы	o o z u n d a gh ih
оозуң	o o z u ng
оозуңа	o o z u ng a
оозуңан	o o z u ng a n
оозуңардан	o o z u ng a r d a n
оозуңдан	o o z u ng d a n
оозуңду	o o z u ng d u
оой	o o j
оокат	o o q a t
оокатка	o o q a t q a
оокаттан	o o q a t t a n
оокаттар	o o q a t t a r
оокаттары	o o q a t t a r ih
оокаттарынын	o o q a t t a r ih n ih n
оокаттуу	o o q a t t u u
оокатты	o o q a t t ih
оокаттын	o o q a t t ih n
оокаты	o o q a t ih
оокатыбызды	o o q a t ih w ih z d ih
оокатын	o o q a t ih n
оокатыңар	o o q a t ih ng a r
оокатыңарды	o o q a t ih ng a r d ih
оокумда	o o q u m d a
оокумдан	o o q u m d a n
оолукканды	o o l u q q a n d ih
оолучу	o o l u tsh u
оомииин	o o m i i i n
оомийин	o o m i j i n
ооналактап	o o n a l a q t a p
оонап	o o n a p
ооп	o o p
оор	o o r
оордоп	o o r d o p
оордугуна	o o r d u gh u n a
оорлотту	o o r l o t t u
оору	o o r u
ооруган	o o r u gh a n
ооругандар	o o r u gh a n d a r
ооруганы	o o r u gh a n ih
оорудай	o o r u d a j
оорудан	o o r u d a n
ооруду	o o r u d u
оорудубу	o o r u d u w u
оорукчандыгы	o o r u q tsh a n d ih gh ih
ооруларга	o o r u l a r gh a
оорулардын	o o r u l a r d ih n
оорулу	o o r u l u
оорулуу	o o r u l u u
оорумун	o o r u m u n
ооруну	o o r u n u
оорунун	o o r u n u n
ооруп	o o r u p
оорусу	o o r u s u
оорусун	o o r u s u n
оорусуна	o o r u s u n a
оорусунан	o o r u s u n a n
оорусунун	o o r u s u n u n
оорутасың	o o r u t a s ih ng
оорутуп	o o r u t u p
оорууларга	o o r u u l a r gh a
ооту	o o t u
оошпогон	o o sh p o gh o n
опколжуду	o p q o l zh u d u
опколжуйт	o p q o l zh u j t
опкоолжуду	o p q o o l zh u d u
опноого	o p n o o gh o
опосуз	o p o s u z
опосуздугу	o p o s u z d u gh u
опосуздугун	o p o s u z d u gh u n
опузалай	o p u z a l a j
опузалап	o p u z a l a p
опузасы	o p u z a s ih
опурталдуу	o p u r t a l d u u
опуртмалуулугу	o p u r t m a l u u l u gh u
опуртопур	o p u r t o p u r
опуртопурга	o p u r t o p u r gh a
опуртопурда	o p u r t o p u r d a
опуртопурду	o p u r t o p u r d u
ор	o r
органдарына	o r gh a n d a r ih n a
органына	o r gh a n ih n a
оргуган	o r gh u gh a n
оргуп	o r gh u p
оргуштаган	o r gh u sh t a gh a n
оргуштап	o r gh u sh t a p
орду	o r d u
ордун	o r d u n
ордуна	o r d u n a
ордунан	o r d u n a n
ордунда	o r d u n d a
ордуңан	o r d u ng a n
ордуңда	o r d u ng d a
ордуңду	o r d u ng d u
оркестр	o r k e s t r
оркестрге	o r k e s t r g e
оркестрди	o r k e s t r d i
оркестрлештирүүгө	o r k e s t r l e sh t i r y y g oe
оркойгон	o r q o j gh o n
оркойтуп	o r q o j t u p
оркоюп	o r q o j u p
ормое	o r m o e
ормойтуп	o r m o j t u p
ормоюп	o r m o j u p
орногон	o r n o gh o n
орногондой	o r n o gh o n d o j
орногонун	o r n o gh o n u n
орногонуң	o r n o gh o n u ng
орнойт	o r n o j t
орноонун	o r n o o n u n
орносо	o r n o s o
орнотмоюнча	o r n o t m o j u n tsh a
орнотулган	o r n o t u l gh a n
орогон	o r o gh o n
орозо	o r o z o
орозонун	o r o z o n u n
орозосун	o r o z o s u n
орой	o r o j
оройлоно	o r o j l o n o
орок	o r o к
оролгон	o r o l gh o n
оролуп	o r o l u p
оронгон	o r o n gh o n
ороодогу	o r o o d o gh u
ороп	o r o p
орто	o r t o
ортобузду	o r t o w u z d u
ортого	o r t o gh o
ортодо	o r t o d o
ортодогу	o r t o d o gh u
ортокмун	o r t o q m u n
ортоктош	o r t o q t o sh
ортоктошуп	o r t o q t o sh u p
ортолоп	o r t o l o p
ортолошту	o r t o l o sh t u
ортолукка	o r t o l u q q a
ортолуктан	o r t o l u q t a n
ортон	o r t o n
ортончу	o r t o n tsh u
ортосу	o r t o s u
ортосуна	o r t o s u n a
ортосунан	o r t o s u n a n
ортосунда	o r t o s u n d a
ортосундагы	o r t o s u n d a gh ih
орточу	o r t o tsh u
орун	o r u n
орунга	o r u n gh a
орундалбасын	o r u n d a l b a s ih n
орундалды	o r u n d a l d ih
орундалуучудай	o r u n d a l u u tsh u d a j
орундалып	o r u n d a l ih p
орундап	o r u n d a p
